epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2254,1.34665,2.00642,1.01153,0.66165,0.43422,0.46291,0.30065,1.10892,1.27269,0.94955,0.000331096,0.000331096,0.000331096
2,96.2481,1.06037,0.95101,0.9383,0.78604,0.53987,0.58823,0.40429,0.98522,0.85487,0.93213,0.000657852,0.000657852,0.000657852
3,140.068,1.0089,0.83378,0.92791,0.77566,0.55172,0.62682,0.43961,1.02673,0.80701,0.92792,0.000978007,0.000978007,0.000978007
4,202.889,0.98012,0.76885,0.91938,0.80839,0.60222,0.66772,0.47994,0.92675,0.73353,0.90502,0.0009703,0.0009703,0.0009703
5,247.628,0.94756,0.72602,0.91564,0.84985,0.63711,0.714,0.52097,0.89518,0.65379,0.90243,0.0009604,0.0009604,0.0009604
6,295.074,0.92563,0.6848,0.90851,0.83988,0.61816,0.7045,0.51627,0.88277,0.6675,0.90323,0.0009505,0.0009505,0.0009505
7,358.497,0.90915,0.65916,0.90526,0.87095,0.61689,0.71708,0.52239,0.88518,0.61682,0.89799,0.0009406,0.0009406,0.0009406
8,402.542,0.89554,0.64208,0.90083,0.87846,0.65133,0.74847,0.56044,0.83471,0.57166,0.88695,0.0009307,0.0009307,0.0009307
9,446.615,0.86709,0.61562,0.89562,0.87536,0.67343,0.77016,0.5718,0.82899,0.56742,0.88858,0.0009208,0.0009208,0.0009208
10,491.056,0.86646,0.59855,0.89433,0.85939,0.68082,0.77037,0.57171,0.84922,0.56008,0.89081,0.0009109,0.0009109,0.0009109
11,534.657,0.86218,0.59025,0.89469,0.85861,0.668,0.76287,0.57098,0.83202,0.54937,0.88938,0.000901,0.000901,0.000901
12,877.739,0.84602,0.57522,0.89129,0.8818,0.69202,0.78065,0.58199,0.79502,0.52867,0.87931,0.0008911,0.0008911,0.0008911
13,921.162,0.83415,0.56061,0.88779,0.89599,0.69255,0.78916,0.59807,0.78252,0.51078,0.87808,0.0008812,0.0008812,0.0008812
14,994.768,0.82967,0.55095,0.88567,0.81592,0.68282,0.76418,0.57662,0.79766,0.5386,0.88074,0.0008713,0.0008713,0.0008713
15,1037.08,0.82335,0.54625,0.88531,0.88648,0.69777,0.79726,0.60722,0.77462,0.49968,0.87663,0.0008614,0.0008614,0.0008614
16,1105.99,0.81745,0.54066,0.88431,0.87207,0.69057,0.78142,0.60378,0.77095,0.52268,0.87496,0.0008515,0.0008515,0.0008515
17,1147.75,0.81166,0.53541,0.88144,0.88669,0.72402,0.79771,0.60813,0.76573,0.49305,0.87254,0.0008416,0.0008416,0.0008416
18,1194.53,0.80777,0.5279,0.87974,0.90238,0.71876,0.8067,0.61253,0.76769,0.47945,0.87211,0.0008317,0.0008317,0.0008317
19,1237.14,0.79721,0.51628,0.8772,0.87589,0.72423,0.80393,0.62275,0.75697,0.47166,0.87046,0.0008218,0.0008218,0.0008218
20,1344.67,0.80031,0.51601,0.87791,0.86565,0.72788,0.80421,0.61916,0.74089,0.46747,0.86628,0.0008119,0.0008119,0.0008119
21,1406.16,0.79324,0.51235,0.87726,0.90824,0.74101,0.81508,0.62827,0.75469,0.47143,0.86888,0.000802,0.000802,0.000802
22,1466.33,0.78047,0.50488,0.8736,0.83115,0.76526,0.81264,0.62737,0.73405,0.461,0.86416,0.0007921,0.0007921,0.0007921
23,1524.08,0.78434,0.50296,0.87495,0.8691,0.77866,0.82149,0.63261,0.74477,0.46962,0.86643,0.0007822,0.0007822,0.0007822
24,1567.77,0.78168,0.49838,0.87349,0.88891,0.76493,0.81118,0.63234,0.73011,0.4586,0.8628,0.0007723,0.0007723,0.0007723
25,1611.27,0.77282,0.49324,0.87086,0.86497,0.76921,0.82269,0.6368,0.7383,0.45667,0.86416,0.0007624,0.0007624,0.0007624
